,company_permalink,funding_round_permalink,funding_round_type,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,primary_sector,main_sector
6270,/organization/avia,/funding-round/04533bd92e0a21dfab4c86e1a5551bbd,venture,6000000.0,/organization/avia,AVIA,http://www.aviahealthinnovation.com,Health Care|Innovation Management,operating,USA,IL,Chicago,Chicago,Health Care,Health
6272,/organization/aviacode,/funding-round/87fda2fcd7027bd1c63558775f611553,venture,12500000.0,/organization/aviacode,Aviacode,http://www.aviacode.com,Enterprise Software|Health Care|Health Care Information Technology|Healthcare Services,operating,USA,UT,Salt Lake City,Salt Lake City,Enterprise Software,Others
6275,/organization/aviaradx,/funding-round/27666bd6e0fd4b3b8361884782ed3ad4,venture,8000000.0,/organization/aviaradx,AviaraDx,http://www.aviaradx.com,Diagnostics|Health Care|Medical,operating,USA,CA,San Diego,San Diego,Diagnostics,Health
6276,/organization/aviary,/funding-round/0b16a8ad5e0e968b6a110957f7682144,venture,7000000.0,/organization/aviary,Aviary,http://www.aviary.com,Apps|Brand Marketing|Creative|Creative Industries|Design|Mobile|Photography|SaaS|Software|Web Development,acquired,USA,NY,New York City,New York,Apps,"News, Search and Messaging"
6277,/organization/aviary,/funding-round/12b2c98105a07b15bcc1f60af5c9f36a,venture,6000000.0,/organization/aviary,Aviary,http://www.aviary.com,Apps|Brand Marketing|Creative|Creative Industries|Design|Mobile|Photography|SaaS|Software|Web Development,acquired,USA,NY,New York City,New York,Apps,"News, Search and Messaging"
6282,/organization/aviatrix,/funding-round/be91f6c305bcd2c4028c11466e41b9fd,venture,10000000.0,/organization/aviatrix,Aviatrix,http://aviatrix.com/,Enterprise Software|Information Technology|Services,operating,USA,CA,SF Bay Area,Santa Clara,Enterprise Software,Others
6286,/organization/avid-radiopharmaceuticals,/funding-round/c15301c7237d70b7d1f4393f362a4f0c,venture,8900000.0,/organization/avid-radiopharmaceuticals,Avid Radiopharmaceuticals,http://www.avidrp.com,Biotechnology,acquired,USA,PA,Philadelphia,Philadelphia,Biotechnology,Cleantech / Semiconductors
6295,/organization/avidity-nanomedicines,/funding-round/581134cc17c7dc73612dcafb2c520f5b,venture,6000000.0,/organization/avidity-nanomedicines,Avidity NanoMedicines,http://www.aviditynano.com,Biotechnology,operating,USA,CA,San Diego,La Jolla,Biotechnology,Cleantech / Semiconductors
6296,/organization/avidity-nanomedicines,/funding-round/c179fec29eff88758ff3910bb4f87459,venture,9067850.0,/organization/avidity-nanomedicines,Avidity NanoMedicines,http://www.aviditynano.com,Biotechnology,operating,USA,CA,San Diego,La Jolla,Biotechnology,Cleantech / Semiconductors
6301,/organization/aviir,/funding-round/0c021cd88ba9963135e24765477843aa,venture,10000000.0,/organization/aviir,Aviir,http://www.aviir.com,Biotechnology,closed,USA,CA,Anaheim,Irvine,Biotechnology,Cleantech / Semiconductors
